"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","p_adj","term_name","effective_domain_size","source_order","parents"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060675","GO:BP",0.869920511106159,"ureteric bud morphogenesis",42,14637,"GO:0001657,GO:0072171"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0060665","GO:BP",0.869920511106159,"regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling",42,14627,"GO:0060638,GO:0060693"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035728","GO:BP",0.869920511106159,"response to hepatocyte growth factor",42,9127,"GO:0070848"
"hubs",FALSE,0.869920511106159,4,20,3,0.15,0.75,"GO:0070293","GO:BP",0.869920511106159,"renal absorption",42,15813,"GO:0003014"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0032535","GO:BP",0.869920511106159,"regulation of cellular component size",42,7574,"GO:0016043,GO:0090066"
"hubs",FALSE,0.869920511106159,2,20,2,0.1,1,"GO:0070294","GO:BP",0.869920511106159,"renal sodium ion absorption",42,15814,"GO:0003096,GO:0070293"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0071453","GO:BP",0.869920511106159,"cellular response to oxygen levels",42,16456,"GO:0070482,GO:0070887"
"hubs",FALSE,0.869920511106159,5,20,3,0.15,0.6,"GO:0023061","GO:BP",0.869920511106159,"signal release",42,6612,"GO:0007267,GO:0032940"
"hubs",FALSE,0.869920511106159,8,20,6,0.3,0.75,"GO:0030001","GO:BP",0.869920511106159,"metal ion transport",42,6613,"GO:0006812"
"hubs",FALSE,0.869920511106159,5,20,3,0.15,0.6,"GO:0030003","GO:BP",0.869920511106159,"intracellular monoatomic cation homeostasis",42,6615,"GO:0006873,GO:0055080"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0030010","GO:BP",0.869920511106159,"establishment of cell polarity",42,6617,"GO:0007163"
"hubs",FALSE,0.869920511106159,5,20,3,0.15,0.6,"GO:0030029","GO:BP",0.869920511106159,"actin filament-based process",42,6620,"GO:0009987"
"hubs",FALSE,0.869920511106159,11,20,7,0.35,0.636363636363636,"GO:0030030","GO:BP",0.869920511106159,"cell projection organization",42,6621,"GO:0016043"
